name,lat,lon,str
SONNY'S HEROS 1031 EAST 92 STREET New York NY 11236,40.6387196,-73.8948295,"{lng=-73.8948295, lat=40.63871959999999}"
WINTER CATERERS 584 RICHMOND ROAD New York NY 10304,40.61229,-74.08761,"{lng=-74.08761, lat=40.61229}"
BAGELS N BUNS 2491 VICTORY BOULEVARD New York NY 10314,40.6103714,-74.1459332,"{lng=-74.1459332, lat=40.6103714}"
OLIVE'S 120 PRINCE STREET New York NY 10012,40.7251256,-73.9998042,"{lng=-73.9998042, lat=40.7251256}"
MARCO POLO RISTORANTE 345 COURT STREET New York NY 11231,40.6821943,-73.9957111,"{lng=-73.9957111, lat=40.6821943}"
LORENZO & MARIA'S 1418 THIRD AVENUE New York NY 10028,40.7753401,-73.9568502,"{lng=-73.95685019999999, lat=40.7753401}"
BERKELY 437 MADISON AVENUE New York NY 10022,40.757365,-73.975393,"{lng=-73.975393, lat=40.757365}"
GOLDEN PAVILLION 976 RUTLAND ROAD New York NY 11212,40.661967,-73.926962,"{lng=-73.926962, lat=40.661967}"
DUNKIN' DONUTS 56 COURT STREET New York NY 11201,40.692273,-73.991495,"{lng=-73.991495, lat=40.692273}"
PJ BERNSTEIN DELI & RESTAURANT 1215 THIRD AVENUE New York NY 10021,40.7684788,-73.9612178,"{lng=-73.9612178, lat=40.7684788}"
PJ CARNEY'S 906 7 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
WATER'S EDGE CLUB 401 44 DRIVE FOOT E.RIVER New York NY 11101,40.7443091,-73.9418603,"{lng=-73.9418603, lat=40.7443091}"
DOMINO'S PIZZA 148 WEST 72 STREET New York NY 10023,40.7769059,-73.9800645,"{lng=-73.9800645, lat=40.7769059}"
METROPOLITAN CLUB 1 EAST 60 STREET New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}"
PALM RESTAURANT 837 2 AVENUE New York NY 10017,40.7519846,-73.9697795,"{lng=-73.9697795, lat=40.7519846}"
21 CLUB 21 WEST 52 STREET New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
HAPPY GARDEN 277 EAST KINGSBRIDGE ROAD New York NY 10458,40.8634684,-73.8941893,"{lng=-73.8941893, lat=40.8634684}"
JP'S WATERSIDE RESTAURANT 703 MINNIEFORD AVE New York NY 10464,40.8575687,-73.7906439,"{lng=-73.79064389999999, lat=40.8575687}"
KOSHER BAGEL HOLE 1423 AVENUE J New York NY 11230,40.6253712,-73.9615993,"{lng=-73.96159930000002, lat=40.6253712}"
SEVILLE RESTAURANT 62 CHARLES STREET New York NY 10014,40.7348818,-74.0031319,"{lng=-74.0031319, lat=40.7348818}"
GOTTSCHEER HALL 657 FAIRVIEW AVENUE New York NY 11385,40.7066823,-73.9057685,"{lng=-73.9057685, lat=40.7066823}"
ISLE OF CAPRI RESTURANT 1028 3 AVENUE New York NY 10065,40.7645239,-73.9624327,"{lng=-73.96243270000001, lat=40.7645239}"
POLISH NATIONAL HOME 261 DRIGGS AVENUE New York NY 11222,40.7224876,-73.9483919,"{lng=-73.94839189999999, lat=40.7224876}"
NAPOLI PIZZA 16402 69 AVENUE New York NY 11365,40.7421943,-73.7889689,"{lng=-73.7889689, lat=40.7421943}"
CAFE ATELIER (ART STUDENTS LEAGUE) 215 WEST 57 STREET New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
JUNIOR'S 386 FLATBUSH AVENUE EXTENSION New York NY 11201,40.6986772,-73.9859414,"{lng=-73.9859414, lat=40.6986772}"
GREAT KILLS YACHT CLUB 37 MANSION AVE New York NY 10308,40.544288,-74.1401429,"{lng=-74.1401429, lat=40.544288}"
MARCHIS RESTAURANT 251 EAST 31 STREET New York NY 10016,40.74727,-73.9800645,"{lng=-73.9800645, lat=40.74727}"
PHILADELHIA GRILLE EXPRESS 10004 4 AVENUE New York NY 11209,40.6212119,-74.0329499,"{lng=-74.03294989999999, lat=40.6212119}"
CRIMINAL COURT BLDG CAFETERIA 100 CENTRE STREET New York NY 10013,40.71599,-74.0010484,"{lng=-74.0010484, lat=40.71599000000001}"
RIZZO'S FINE PIZZA 30-13 STEINWAY STREET New York NY 11103,40.763377,-73.9151096,"{lng=-73.9151096, lat=40.763377}"
FORLINIS RESTAURANT 93 BAXTER STREET New York NY 10013,40.7169224,-73.9995049,"{lng=-73.99950489999999, lat=40.7169224}"
LA GRENOUILLE 3 EAST 52 STREET New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}"
WESTERN BAKERY 228-13 MERRICK BOULEVARD New York NY 11413,40.6767449,-73.7416329,"{lng=-73.7416329, lat=40.6767449}"
JOHNS CAFE & RESTURANT 823 SECOND AVENUE New York NY 10017,40.751148,-73.971606,"{lng=-73.971606, lat=40.751148}"
7B BAR 108 AVENUE B New York NY 10009,40.7250067,-73.98146,"{lng=-73.98146, lat=40.7250067}"
REYNOLD'S BAR 4241 BROADWAY New York NY 10033,40.8497077,-73.9365108,"{lng=-73.9365108, lat=40.8497077}"
